名称,住所,緯度,経度
北区飛鳥山博物館,日本、〒114-0002 東京都北区王子１丁目１−３,35.7495899,139.7389375
白根記念渋谷区郷土博物館・文学館,日本、〒150-0011 東京都渋谷区東４丁目９−１ 白根記念渋谷区郷土博物館・文学館,35.6564347,139.7125067
杉並区立郷土博物館,日本、〒168-0061 東京都杉並区大宮１丁目２０−８ 杉並区立郷土博物館,35.6859169,139.6454468
東京国立博物館,日本、〒110-8712 東京都台東区上野公園１３−９,35.7188351,139.7765215
東京都江戸東京博物館,日本、〒130-0015 東京都墨田区横網１丁目４−１,35.6965972,139.7957336
東京都近代文学博物館,,,
国立科学博物館,日本、〒110-8718 東京都台東区上野公園７−２０,35.7163059,139.7765252
土方歳三資料館,日本、〒191-0021 東京都日野市石田２丁目１−３,35.6697658,139.4196267
井上源三郎資料館,日本、〒191-0011 東京都日野市日野本町４丁目１１−１２,35.6802246,139.3972492
佐藤彦五郎新選組資料館,日本、〒191-0011 東京都日野市日野本町２丁目１５−５,35.6773947,139.3998461
日野市立新選組のふるさと歴史館,日本、〒191-0016 東京都日野市神明４丁目１６−１ 新選組のふるさと歴史館,35.6734179,139.3965305
小島資料館,日本、〒195-0064 東京都町田市小野路町９５０ 小島資料館,35.5989642,139.4386001
神奈川県,日本、神奈川県,35.4913535,139.284143
神奈川県立生命の星・地球博物館,日本、〒250-0031 神奈川県小田原市入生田４９９,35.2394963,139.121663
藤子・F・不二雄ミュージアム,日本、〒214-0023 神奈川県川崎市多摩区長尾２丁目８−１,35.6099229,139.5735722
横須賀市自然・人文博物館,日本、〒238-0016 神奈川県横須賀市深田台９５−９５ 横須賀市立自然・人文博物館,35.2745404,139.6736259
川崎市市民ミュージアム,日本、〒211-0052 神奈川県川崎市中原区等々力１−２,35.5887214,139.647451
相模原市立博物館,日本、〒252-0221 神奈川県相模原市中央区高根３丁目１−１５ 相模原市立博物館,35.5593639,139.3930267
中部,,,
新潟県,日本、新潟県,37.5178386,138.9269794
新潟県立自然科学館,日本、〒950-0948 新潟県新潟市中央区女池南３丁目１−１,37.890746,139.049752
新潟県立歴史博物館,日本、〒940-2035 新潟県長岡市関原町１丁目２２４７−２ 字権現堂２２４７ｰ２,37.4383931,138.7673549
長岡戦災資料館,日本、〒940-0061 新潟県長岡市城内町２丁目６−１７,37.448667,138.8524042
新潟市歴史博物館,日本、〒951-8013 新潟県新潟市中央区柳島町２丁目１０,37.9298232,139.0577486
新潟市新津鉄道資料館,日本、〒956-0816 新潟県新潟市秋葉区新津東町２丁目５−６,37.8018364,139.1418232
燕市産業史料館,日本、〒959-1263 新潟県燕市大曲４３３０−１,37.652754,138.919169
三条市歴史民俗産業資料館,日本、〒955-0071 新潟県三条市本町３丁目１−４,37.632021,138.95674
上越市立歴史博物館,日本、〒943-0835 新潟県上越市本城町７−７,37.1116918,138.25519
フォッサマグナミュージアム,日本、〒941-0056 新潟県糸魚川市一ノ宮１３１３,37.0256333,137.8705708
田中角栄記念館,日本、〒949-4135 新潟県柏崎市西山町坂田７１７−４,37.4499215,138.6614563
富山県,日本、富山県,36.6958266,137.2137071
高志の国文学館,日本、〒930-0095 富山県富山市舟橋南町２−２２,36.6954577,137.2061956
富山県立山（たてやま）博物館,日本、〒930-1406 富山県中新川郡立山町芦峅寺６,36.5813185,137.3978742
富山市科学博物館,日本、〒939-8084 富山県富山市西中野町１丁目８−３１,36.6808542,137.2118146
富山市郷土博物館,日本、〒930-0081 富山県富山市本丸１−６２,36.6928096,137.2114892
高岡市立博物館,日本、〒933-0044 富山県高岡市古城１−５,36.7465731,137.0208647
魚津埋没林博物館,日本、〒937-0067 富山県魚津市釈迦堂８１４,36.8224611,137.39501
ほたるいかミュージアム,日本、〒936-0021 富山県滑川市中川原４１０,36.7740842,137.3444938
石川県,日本、石川県,36.3260317,136.5289653
石川県立歴史博物館,日本、〒920-0963 石川県金沢市出羽町３−１,36.5585695,136.6628441
福井県,日本、福井県,35.896227,136.2111579
福井県立恐竜博物館,日本、〒911-0023 福井県勝山市村岡町寺尾５１−１１,36.0827204,136.5065353
